equipment_id,name,rarity_id,type
S0-001,双联装381mm主炮改#T0,4,战列炮
S0-002,410mm连装炮(三式弹)#T0,4,战列炮
S0-003,高性能舵机#T0,4,设备
S0-004,高性能对空雷达#T0,4,设备
S0-005,双联装40mm博福斯海兹梅耶#T0,4,防空炮
S0-006,双联装40mm博福斯STAAG#T0,4,防空炮
S0-007,高性能火控雷达#T0,4,设备
S1-001,试作型三联装152mm主炮#T0,4,轻巡炮
S1-002,试作型三联装203mmSKC主炮#T0,4,重巡炮
S1-003,试作型三联装203mm舰炮#T0,4,重巡炮
S1-004,试作型三联装381mm主炮#T0,4,战列炮
S1-005,试作型410mm三连装炮#T0,4,战列炮
S1-006,100mm连装高炮#T0,4,防空炮
S2-001,试作型三联装152mm高平两用炮Mk17#T0,4,轻巡炮
S2-002,试作型三联装310mm主炮#T0,4,大口径重巡炮
S2-003,试作型双联装457mm主炮MkA#T0,5,战列炮
S2-004,试作型双联装406mmSKC主炮#T0,4,战列炮
S2-005,试作型五式40mm高射机关炮#T0,4,防空炮
S2-006,双联37mm高射炮Mle1936#T0,4,防空炮
S3-001,双联装114mm高平两用炮Mark IV#T0,4,驱逐炮
S3-002,试作型三联装234mm主炮#T0,5,重巡炮
S3-003,试作型双联装234mm主炮#T0,4,重巡炮
S3-004,试作型三联装406mm/50主炮#T0,4,战列炮
S3-005,试作型三联装305mmSKC39主炮#T0,4,战列炮
S3-006,六联装40mm博福斯对空机炮#T0,4,防空炮
S4-001,试作型三联装305mmSKC39主炮(超巡用)#T0,4,大口径重巡炮
S4-002,试作型三联装406mm主炮Model1940#T0,4,战列炮
S4-003,试作型双联90mm高角炮Model1939#T0,4,防空炮
S4-004,试作舰载型BF-109G#T0,4,战斗机
S4-005,试作舰载型天雷#T0,5,轰炸机
S4-006,试作型彩云(舰攻型)#T0,4,鱼雷机
S5-001,试作型双联装130mm主炮Model1936#T0,4,驱逐炮
S5-002,试作型四联装152mm主炮#T0,5,轻巡炮
S5-003,试作型四联装330mm主炮Mle1931(超巡用)#T0,4,大口径重巡炮
S5-004,试作型四联装30mm机炮#T0,4,防空炮
S5-005,试作舰载型Su-2#T0,4,轰炸机
S5-006,试作型VIT-2(VK-107)#T0,4,鱼雷机
S6-001,试作型三联装150mm五式高平两用炮#T0,4,轻巡炮
S6-002,试作型双联装TbtsKC42T式150mm主炮#T0,4,轻巡炮
S6-003,试作型三联装203mmSKC主炮改#T0,5,重巡炮
S6-004,试作型三联装406mm主炮Mk6改#T0,4,战列炮
S6-005,试作型三联装380mm主炮Mle1935#T0,4,战列炮
S6-006,试作型55mm Gerät 58防空炮#T0,4,防空炮
S7-001,试作舰载型La-9#T0,5,战斗机
S7-002,试作型VIT-2（模式调整）#T0,4,鱼雷机
S7-003,试作型三联装254mm主炮Model1939#T0,4,重巡炮
S7-004,试作型三联装152mm主炮Model1936#T0,4,轻巡炮
S7-005,试作型F8F熊猫（浮筒型）#T0,4,水上机
S7-006,试作型双联装410mm主炮Mod.A#T0,4,战列炮
S8-001,试作型B-1-P 三联装180mm主炮Model1932改#T0,4,轻巡炮
S8-002,试作型三联装283mm/54.5主炮#T0,4,大口径重巡炮
S8-003,试作型四联装305mmSKC39主炮#T0,5,战列炮
S8-004,试作型三联装406mm/45主炮Mk7#T0,4,战列炮
S8-005,试作型四联装533毫米鱼雷Si 270#T0,4,水面鱼雷
S8-006,试作型六联装Scotti20mm机炮Model1941#T0,4,防空炮
S9-001,试作舰载型Ta 152C-1/R14#T0,5,轰炸机
S9-002,试作型三联装419mm主炮MK.I#T0,4,战列炮
S9-003,试作型双联装127mm主炮Mle1948#T0,4,驱逐炮
S9-004,试作型双联装127mm高平两用炮Mk16#T0,4,驱逐炮
S9-005,试作型三联装550mm鱼雷改（弹药调整）#T0,4,水面鱼雷
S9-006,试作型四联装610mm鱼雷（巡洋用）#T0,4,水面鱼雷
G0001,双联100mm98式高射炮改#T0,5,驱逐炮
G0002,试作型五式127mm连装炮#T0,5,驱逐炮
G0003,双联装138.6mm主炮Mle1934#T0,5,驱逐炮
G0006,试作型203mm/55三连装主炮#T0,5,重巡炮
G0008,SM-40 试作型三联装220mm主炮#T0,5,重巡炮
G0009,三联装305mm主炮Mk8#T0,5,大口径重巡炮
G0010,三联装406mm主炮Mk7#T0,5,战列炮
G0012,试作型三联装406mm主炮Mk.II#T0,5,战列炮
G0013,460mm三连装炮#T0,5,战列炮
G0015,试作型三联装406mm主炮Model1940改#T0,5,战列炮
G0016,五联装610mm鱼雷#T0,5,水面鱼雷
G0017,五联装533mm磁性鱼雷#T3,5,水面鱼雷
G0018,潜艇用95式纯氧鱼雷改#T0,5,潜艇鱼雷
G0019,潜艇用G7e声导鱼雷改#T0,5,潜艇鱼雷
G0020,双联装76mmRF火炮Mk37#T0,5,防空炮
G0021,双联装57mmL/60博福斯对空机炮Mle1951#T0,5,防空炮
G0023,飞龙(鱼雷机)#T0,5,鱼雷机
G0024,试作型旗鱼#T0,5,鱼雷机
G0025,AD-1天袭者#T0,5,轰炸机
G0028,海军部火控台#T0,5,设备
G0029,Z旗#T0,5,设备
G0030,九三式纯氧鱼雷#T3,5,设备
G0031,双联装127mm高平两用炮Mk12#T3,4,驱逐炮
G0032,试作型双联装137mm高平两用炮Mk1#T0,4,驱逐炮
G0034,双联装120mm高平两用炮Mark XI#T0,4,驱逐炮
